session_id,date,simulator_id,instructor_id,student_id,training_type,scheduled_duration_hours,actual_duration_hours,outcome,student_satisfaction_score
SESS-00762,2024-01-14,SIM-008,INST-009,STU-6886,Recurrent Training,4.4,4.0,Passed,4
SESS-02446,2024-01-14,SIM-012,INST-020,STU-1785,Recurrent Training,5.3,5.7,Passed,4
SESS-02173,2024-01-15,SIM-005,INST-017,STU-4155,Type Rating,5.5,5.7,Passed,4
SESS-01679,2024-01-15,SIM-007,INST-007,STU-1651,Upgrade Training,5.4,5.9,Passed,5
SESS-01947,2024-01-15,SIM-003,INST-016,STU-8481,Type Rating,3.2,3.5,Passed,4
SESS-00647,2024-01-15,SIM-009,INST-001,STU-8896,Initial Training,4.7,4.3,Failed,2
SESS-00111,2024-01-15,SIM-011,INST-019,STU-1753,Type Rating,3.8,3.5999999999999996,Passed,3
SESS-01695,2024-01-15,SIM-008,INST-025,STU-5766,Initial Training,4.4,4.2,Passed,3
SESS-01246,2024-01-15,SIM-011,INST-022,STU-1238,Recurrent Training,2.8,2.5999999999999996,Completed,3
SESS-01746,2024-01-15,SIM-009,INST-016,STU-3509,Upgrade Training,5.2,5.4,Completed,3
SESS-00759,2024-01-16,SIM-001,INST-011,STU-6221,Recurrent Training,3.3,3.6999999999999997,Passed,4
SESS-01191,2024-01-16,SIM-005,INST-020,STU-2887,Type Rating,3.5,3.1,Completed,4
SESS-00432,2024-01-16,SIM-002,INST-014,STU-7625,Line Training,3.0,3.4,Cancelled,4
SESS-00753,2024-01-16,SIM-003,INST-010,STU-5590,Line Training,5.5,5.2,Failed,3
SESS-02368,2024-01-16,SIM-010,INST-008,STU-2370,Type Rating,5.1,4.8999999999999995,Passed,5
SESS-00328,2024-01-16,SIM-012,INST-001,STU-5478,Upgrade Training,3.6,3.9,Passed,4
SESS-02176,2024-01-16,SIM-011,INST-014,STU-7837,Initial Training,5.1,4.699999999999999,Passed,3
SESS-01506,2024-01-16,SIM-002,INST-019,STU-9781,Line Training,5.7,5.2,Passed,5
SESS-00442,2024-01-16,SIM-012,INST-014,STU-5602,Recurrent Training,2.1,1.7000000000000002,Passed,4
SESS-02403,2024-01-16,SIM-010,INST-025,STU-2748,Recurrent Training,5.3,5.1,Cancelled,3
SESS-02489,2024-01-16,SIM-001,INST-019,STU-3045,Line Training,4.7,4.4,Passed,5
SESS-00491,2024-01-16,SIM-005,INST-015,STU-4963,Initial Training,4.5,4.4,Passed,5
SESS-01824,2024-01-16,SIM-007,INST-023,STU-4391,Line Training,2.5,2.6,Completed,4
SESS-00323,2024-01-17,SIM-004,INST-020,STU-3938,Line Training,5.6,6.0,Passed,4
SESS-00217,2024-01-17,SIM-005,INST-014,STU-3513,Line Training,3.4,3.6,Failed,3
SESS-01444,2024-01-17,SIM-001,INST-024,STU-4937,Line Training,2.8,2.5999999999999996,Passed,5
SESS-00692,2024-01-17,SIM-002,INST-020,STU-6410,Initial Training,6.0,5.6,Passed,3
SESS-00438,2024-01-18,SIM-005,INST-015,STU-5026,Line Training,3.1,3.2,Failed,3
SESS-01666,2024-01-18,SIM-011,INST-018,STU-8068,Initial Training,5.0,4.5,Passed,3
SESS-01914,2024-01-18,SIM-011,INST-022,STU-7308,Recurrent Training,4.3,4.3999999999999995,Failed,2
SESS-01705,2024-01-18,SIM-010,INST-019,STU-5463,Recurrent Training,4.5,4.7,Passed,4
SESS-02152,2024-01-18,SIM-009,INST-024,STU-6289,Line Training,3.0,2.8,Cancelled,4
SESS-02223,2024-01-19,SIM-004,INST-011,STU-4389,Recurrent Training,4.0,3.6,Passed,4
SESS-00415,2024-01-19,SIM-011,INST-020,STU-7870,Recurrent Training,2.7,2.4000000000000004,Cancelled,2
SESS-01616,2024-01-19,SIM-007,INST-007,STU-6666,Upgrade Training,4.8,5.3,Passed,4
SESS-01643,2024-01-19,SIM-006,INST-010,STU-6877,Initial Training,2.1,2.1,Completed,5
SESS-00603,2024-01-19,SIM-007,INST-012,STU-5269,Initial Training,5.1,5.1,Passed,5
SESS-00871,2024-01-20,SIM-007,INST-023,STU-7397,Initial Training,2.6,2.4,Passed,5
SESS-02278,2024-01-20,SIM-012,INST-015,STU-4759,Initial Training,3.1,3.3000000000000003,Failed,4
SESS-01689,2024-01-20,SIM-005,INST-014,STU-7851,Upgrade Training,4.4,4.6000000000000005,Passed,5
SESS-01052,2024-01-21,SIM-004,INST-006,STU-8233,Type Rating,6.0,5.9,Failed,4
SESS-00021,2024-01-21,SIM-005,INST-016,STU-6862,Line Training,3.5,3.2,Failed,2
SESS-01565,2024-01-21,SIM-012,INST-001,STU-4560,Type Rating,5.2,5.0,Completed,5
SESS-00888,2024-01-21,SIM-010,INST-019,STU-3185,Recurrent Training,3.8,3.4,Failed,4
SESS-00430,2024-01-21,SIM-004,INST-004,STU-4522,Line Training,5.3,5.6,Passed,4
SESS-02443,2024-01-21,SIM-002,INST-016,STU-1482,Line Training,5.4,5.7,Passed,3
SESS-01259,2024-01-21,SIM-007,INST-020,STU-9533,Recurrent Training,3.1,3.4,Passed,4
SESS-01770,2024-01-21,SIM-001,INST-015,STU-4838,Line Training,3.9,4.2,Passed,5
SESS-02308,2024-01-21,SIM-003,INST-010,STU-6110,Line Training,2.4,2.8,Passed,4
SESS-00769,2024-01-22,SIM-003,INST-016,STU-5025,Type Rating,4.1,4.1,Passed,4
SESS-01675,2024-01-22,SIM-001,INST-025,STU-4451,Line Training,5.0,4.9,Cancelled,3
SESS-00163,2024-01-22,SIM-002,INST-011,STU-8147,Line Training,2.3,1.7999999999999998,Failed,2
SESS-00175,2024-01-22,SIM-008,INST-003,STU-8368,Upgrade Training,5.8,6.2,Passed,5
SESS-01014,2024-01-22,SIM-007,INST-022,STU-8960,Line Training,4.6,4.8999999999999995,Passed,3
SESS-00233,2024-01-22,SIM-011,INST-016,STU-1464,Upgrade Training,3.4,3.0,Failed,4
SESS-02412,2024-01-22,SIM-005,INST-013,STU-7010,Line Training,2.5,2.6,Passed,4
SESS-00591,2024-01-22,SIM-002,INST-014,STU-1082,Upgrade Training,5.5,5.6,Passed,4
SESS-01704,2024-01-22,SIM-006,INST-010,STU-3571,Type Rating,4.0,3.8,Passed,3
SESS-00879,2024-01-22,SIM-011,INST-016,STU-7643,Type Rating,2.1,1.7000000000000002,Completed,5
SESS-01419,2024-01-23,SIM-011,INST-015,STU-3475,Line Training,5.7,5.4,Failed,4
SESS-01059,2024-01-23,SIM-006,INST-010,STU-8423,Upgrade Training,4.6,4.3999999999999995,Passed,5
SESS-00203,2024-01-23,SIM-012,INST-014,STU-7338,Upgrade Training,2.1,2.6,Failed,3
SESS-01182,2024-01-23,SIM-005,INST-014,STU-1991,Initial Training,2.7,2.3000000000000003,Passed,5
SESS-01624,2024-01-23,SIM-009,INST-010,STU-6146,Type Rating,2.5,2.3,Passed,5
SESS-00994,2024-01-24,SIM-011,INST-013,STU-3100,Line Training,3.3,3.5999999999999996,Completed,4
SESS-00248,2024-01-24,SIM-003,INST-020,STU-1637,Upgrade Training,4.0,3.6,Passed,4
SESS-00417,2024-01-24,SIM-012,INST-019,STU-7568,Type Rating,2.7,2.3000000000000003,Passed,4
SESS-00531,2024-01-24,SIM-009,INST-014,STU-1158,Line Training,3.7,4.1000000000000005,Passed,5
SESS-01398,2024-01-24,SIM-007,INST-017,STU-9741,Line Training,4.2,3.9000000000000004,Passed,3
SESS-02349,2024-01-24,SIM-007,INST-006,STU-3939,Recurrent Training,5.3,5.0,Passed,3
SESS-01899,2024-01-24,SIM-006,INST-019,STU-3305,Line Training,4.9,5.2,Failed,2
SESS-00956,2024-01-25,SIM-006,INST-001,STU-5749,Initial Training,4.5,4.3,Cancelled,4
SESS-00209,2024-01-25,SIM-008,INST-014,STU-6438,Recurrent Training,3.1,2.9,Passed,4
SESS-00665,2024-01-25,SIM-009,INST-010,STU-7527,Line Training,3.0,2.6,Failed,2
SESS-02423,2024-01-25,SIM-002,INST-020,STU-9313,Initial Training,4.8,4.7,Completed,5
SESS-00814,2024-01-26,SIM-001,INST-001,STU-2735,Recurrent Training,2.1,2.0,Failed,2
SESS-02449,2024-01-26,SIM-002,INST-014,STU-7035,Initial Training,4.6,4.3,Passed,4
SESS-02460,2024-01-26,SIM-009,INST-009,STU-3763,Upgrade Training,3.2,3.6,Passed,4
SESS-00436,2024-01-26,SIM-008,INST-019,STU-3752,Line Training,2.5,2.9,Failed,3
SESS-00139,2024-01-27,SIM-005,INST-020,STU-3076,Upgrade Training,3.3,3.5,Passed,5
SESS-01492,2024-01-27,SIM-006,INST-009,STU-8030,Recurrent Training,4.5,4.1,Passed,5
SESS-02309,2024-01-27,SIM-002,INST-025,STU-3242,Type Rating,4.6,4.199999999999999,Passed,5
SESS-00017,2024-01-27,SIM-003,INST-020,STU-2512,Line Training,4.0,4.1,Passed,4
SESS-02213,2024-01-27,SIM-012,INST-016,STU-3882,Type Rating,2.9,2.6999999999999997,Completed,4
SESS-02417,2024-01-27,SIM-012,INST-009,STU-8041,Recurrent Training,3.0,3.0,Passed,3
SESS-01735,2024-01-27,SIM-008,INST-019,STU-3244,Type Rating,3.3,3.3,Failed,3
SESS-00366,2024-01-28,SIM-004,INST-010,STU-6882,Recurrent Training,3.3,3.8,Passed,4
SESS-02036,2024-01-28,SIM-004,INST-016,STU-6431,Type Rating,2.1,2.5,Failed,3
SESS-00399,2024-01-28,SIM-003,INST-001,STU-4921,Recurrent Training,5.0,5.0,Passed,3
SESS-01023,2024-01-28,SIM-001,INST-015,STU-4926,Type Rating,5.4,5.2,Passed,4
SESS-00832,2024-01-28,SIM-004,INST-010,STU-1013,Line Training,2.2,2.4000000000000004,Failed,3
SESS-01318,2024-01-28,SIM-009,INST-009,STU-5981,Line Training,5.0,5.0,Passed,3
SESS-00731,2024-01-28,SIM-012,INST-003,STU-5993,Type Rating,4.5,4.5,Passed,4
SESS-01773,2024-01-28,SIM-005,INST-008,STU-2481,Recurrent Training,2.5,2.3,Passed,3
SESS-02361,2024-01-28,SIM-008,INST-009,STU-9486,Upgrade Training,4.8,4.5,Passed,3
SESS-02432,2024-01-29,SIM-012,INST-009,STU-7681,Initial Training,4.3,4.3999999999999995,Cancelled,2
SESS-00412,2024-01-29,SIM-004,INST-014,STU-9185,Type Rating,4.0,4.4,Passed,3
SESS-00295,2024-01-29,SIM-005,INST-004,STU-3295,Initial Training,3.8,3.8,Passed,4
SESS-00444,2024-01-29,SIM-009,INST-025,STU-4594,Recurrent Training,3.1,3.2,Passed,4
SESS-00160,2024-01-29,SIM-011,INST-018,STU-1125,Type Rating,2.9,2.6,Cancelled,2
SESS-00874,2024-01-29,SIM-006,INST-014,STU-2485,Line Training,3.3,3.1999999999999997,Passed,4
SESS-00007,2024-01-30,SIM-010,INST-025,STU-9320,Upgrade Training,5.7,5.3,Passed,3
SESS-01225,2024-01-30,SIM-009,INST-010,STU-7039,Line Training,4.6,4.6,Completed,3
SESS-01185,2024-01-30,SIM-004,INST-010,STU-4889,Upgrade Training,4.3,4.3,Passed,5
SESS-01402,2024-01-30,SIM-012,INST-019,STU-1170,Initial Training,5.6,5.8999999999999995,Passed,3
SESS-00715,2024-01-30,SIM-003,INST-014,STU-5355,Initial Training,5.3,5.3,Passed,5
SESS-01313,2024-01-31,SIM-001,INST-020,STU-6458,Initial Training,3.2,2.9000000000000004,Cancelled,4
SESS-00236,2024-01-31,SIM-009,INST-010,STU-3589,Initial Training,3.2,3.1,Completed,4
SESS-02263,2024-01-31,SIM-001,INST-020,STU-2928,Recurrent Training,4.8,4.3999999999999995,Completed,4
SESS-01989,2024-01-31,SIM-003,INST-014,STU-8871,Recurrent Training,5.2,5.5,Completed,5
SESS-00314,2024-01-31,SIM-011,INST-013,STU-8916,Type Rating,2.9,3.1,Passed,3
SESS-01614,2024-01-31,SIM-012,INST-014,STU-3282,Line Training,3.7,3.4000000000000004,Passed,5
SESS-01829,2024-01-31,SIM-010,INST-012,STU-5799,Upgrade Training,4.9,5.2,Passed,5
SESS-00281,2024-02-01,SIM-012,INST-016,STU-9972,Line Training,2.3,2.6999999999999997,Passed,3
SESS-01615,2024-02-01,SIM-009,INST-019,STU-4860,Line Training,5.7,5.7,Passed,5
SESS-00297,2024-02-01,SIM-005,INST-015,STU-3869,Upgrade Training,2.9,3.0,Passed,4
SESS-01119,2024-02-01,SIM-002,INST-020,STU-7961,Initial Training,5.3,5.7,Completed,4
SESS-01105,2024-02-01,SIM-001,INST-010,STU-7443,Initial Training,5.9,6.2,Passed,5
SESS-02067,2024-02-01,SIM-008,INST-011,STU-2028,Line Training,3.1,3.1,Passed,5
SESS-01580,2024-02-01,SIM-003,INST-014,STU-2989,Upgrade Training,3.9,4.1,Passed,5
SESS-01980,2024-02-01,SIM-010,INST-019,STU-1969,Upgrade Training,3.0,3.2,Failed,2
SESS-01015,2024-02-02,SIM-003,INST-014,STU-7668,Type Rating,3.3,3.6999999999999997,Passed,5
SESS-00411,2024-02-02,SIM-006,INST-015,STU-5308,Line Training,5.2,5.4,Passed,5
SESS-00046,2024-02-02,SIM-005,INST-017,STU-7797,Initial Training,4.8,4.7,Passed,5
SESS-01601,2024-02-02,SIM-007,INST-012,STU-2014,Initial Training,5.0,5.1,Passed,3
SESS-00359,2024-02-02,SIM-009,INST-025,STU-2667,Recurrent Training,3.1,3.4,Passed,5
SESS-01144,2024-02-03,SIM-004,INST-010,STU-8932,Type Rating,3.3,2.8,Passed,5
SESS-00823,2024-02-03,SIM-007,INST-018,STU-6582,Upgrade Training,2.6,2.3000000000000003,Passed,5
SESS-01897,2024-02-03,SIM-003,INST-011,STU-8113,Type Rating,3.4,3.8,Failed,4
SESS-02240,2024-02-03,SIM-012,INST-016,STU-3677,Line Training,6.0,6.4,Passed,4
SESS-01251,2024-02-04,SIM-006,INST-020,STU-4580,Line Training,4.6,4.5,Passed,5
SESS-01254,2024-02-04,SIM-009,INST-020,STU-6490,Line Training,5.9,5.4,Passed,5
SESS-00787,2024-02-04,SIM-003,INST-011,STU-8001,Line Training,3.3,3.5999999999999996,Failed,2
SESS-00985,2024-02-04,SIM-010,INST-008,STU-9161,Type Rating,2.4,2.6,Completed,3
SESS-01728,2024-02-04,SIM-012,INST-014,STU-6741,Type Rating,4.5,4.6,Passed,3
SESS-01128,2024-02-04,SIM-003,INST-025,STU-1732,Initial Training,2.0,1.9,Passed,5
SESS-02453,2024-02-04,SIM-008,INST-010,STU-5317,Recurrent Training,4.3,3.8,Failed,4
SESS-01608,2024-02-04,SIM-010,INST-019,STU-8190,Upgrade Training,5.6,5.5,Failed,3
SESS-02165,2024-02-04,SIM-010,INST-019,STU-4039,Upgrade Training,3.5,3.6,Passed,3
SESS-02236,2024-02-04,SIM-001,INST-009,STU-3512,Upgrade Training,4.9,5.300000000000001,Passed,4
SESS-00978,2024-02-05,SIM-005,INST-017,STU-8793,Line Training,5.9,6.300000000000001,Passed,4
SESS-01538,2024-02-05,SIM-004,INST-019,STU-5552,Upgrade Training,2.8,2.6999999999999997,Passed,5
SESS-02102,2024-02-05,SIM-012,INST-015,STU-9068,Line Training,3.4,3.3,Passed,3
SESS-00286,2024-02-05,SIM-005,INST-013,STU-8734,Type Rating,4.2,3.7,Completed,4
SESS-01224,2024-02-05,SIM-002,INST-011,STU-7322,Upgrade Training,4.0,3.8,Passed,3
SESS-00622,2024-02-05,SIM-010,INST-019,STU-4765,Line Training,5.7,5.6000000000000005,Passed,3
SESS-00706,2024-02-05,SIM-002,INST-010,STU-9702,Upgrade Training,5.7,5.4,Passed,4
SESS-02170,2024-02-06,SIM-001,INST-024,STU-3393,Upgrade Training,4.5,4.7,Passed,5
SESS-01462,2024-02-07,SIM-008,INST-016,STU-4654,Line Training,3.5,3.4,Passed,4
SESS-00221,2024-02-07,SIM-011,INST-004,STU-8406,Initial Training,2.8,2.5,Passed,5
SESS-02064,2024-02-08,SIM-004,INST-011,STU-4083,Recurrent Training,4.8,4.5,Passed,4
SESS-00380,2024-02-08,SIM-009,INST-015,STU-2525,Line Training,4.5,4.4,Passed,5
SESS-02280,2024-02-08,SIM-012,INST-003,STU-5483,Recurrent Training,3.6,3.6,Passed,5
SESS-00327,2024-02-08,SIM-009,INST-024,STU-6580,Type Rating,2.4,2.5,Passed,5
SESS-00865,2024-02-08,SIM-009,INST-003,STU-8429,Recurrent Training,3.0,3.4,Passed,4
SESS-02302,2024-02-08,SIM-006,INST-015,STU-9699,Line Training,3.4,3.3,Passed,4
SESS-02157,2024-02-09,SIM-002,INST-011,STU-4262,Line Training,3.7,3.7,Passed,3
SESS-00416,2024-02-09,SIM-012,INST-016,STU-7108,Initial Training,5.7,5.3,Passed,5
SESS-01656,2024-02-09,SIM-005,INST-020,STU-4679,Initial Training,5.1,5.199999999999999,Passed,5
SESS-02230,2024-02-09,SIM-012,INST-025,STU-5816,Initial Training,5.5,5.4,Failed,4
SESS-01004,2024-02-09,SIM-001,INST-015,STU-5945,Upgrade Training,3.9,3.9,Passed,4
SESS-01157,2024-02-09,SIM-005,INST-011,STU-9825,Type Rating,5.1,4.6,Passed,5
SESS-00337,2024-02-09,SIM-004,INST-017,STU-6916,Initial Training,3.1,2.9,Passed,3
SESS-01442,2024-02-09,SIM-002,INST-019,STU-6942,Initial Training,2.8,2.9,Passed,4
SESS-00671,2024-02-10,SIM-006,INST-025,STU-3654,Upgrade Training,3.6,3.4,Failed,3
SESS-01433,2024-02-10,SIM-010,INST-012,STU-5014,Recurrent Training,2.1,1.7000000000000002,Passed,5
SESS-02068,2024-02-10,SIM-008,INST-009,STU-8306,Type Rating,4.5,4.0,Passed,5
SESS-00405,2024-02-10,SIM-010,INST-012,STU-9377,Upgrade Training,2.6,3.0,Completed,3
SESS-01800,2024-02-10,SIM-006,INST-019,STU-8101,Line Training,4.9,5.4,Passed,3
SESS-00197,2024-02-10,SIM-011,INST-016,STU-1311,Initial Training,3.8,3.5999999999999996,Completed,3
SESS-01644,2024-02-10,SIM-011,INST-017,STU-5529,Recurrent Training,3.6,4.0,Passed,5
SESS-00653,2024-02-10,SIM-008,INST-025,STU-9071,Recurrent Training,5.1,5.199999999999999,Passed,5
SESS-00729,2024-02-10,SIM-008,INST-016,STU-1916,Type Rating,4.9,5.300000000000001,Passed,4
SESS-01846,2024-02-10,SIM-005,INST-015,STU-1917,Upgrade Training,5.4,5.300000000000001,Passed,5
SESS-00686,2024-02-10,SIM-005,INST-010,STU-7917,Initial Training,5.3,5.3999999999999995,Passed,5
SESS-00326,2024-02-10,SIM-003,INST-020,STU-9204,Recurrent Training,5.2,5.4,Passed,4
SESS-02494,2024-02-10,SIM-012,INST-003,STU-6371,Type Rating,3.4,3.1,Passed,4
SESS-00280,2024-02-11,SIM-009,INST-020,STU-9609,Recurrent Training,4.7,4.6000000000000005,Passed,5
SESS-02447,2024-02-11,SIM-004,INST-011,STU-5801,Upgrade Training,2.2,2.3000000000000003,Passed,3
SESS-01027,2024-02-11,SIM-010,INST-019,STU-9055,Initial Training,5.2,5.2,Passed,4
SESS-01279,2024-02-11,SIM-011,INST-015,STU-9495,Initial Training,3.6,4.0,Passed,4
SESS-00009,2024-02-11,SIM-002,INST-024,STU-7868,Recurrent Training,4.3,4.5,Completed,5
SESS-00319,2024-02-11,SIM-001,INST-003,STU-1519,Recurrent Training,3.2,2.8000000000000003,Passed,4
SESS-01719,2024-02-11,SIM-002,INST-010,STU-2721,Initial Training,4.1,3.9999999999999996,Failed,2
SESS-01671,2024-02-12,SIM-010,INST-012,STU-3494,Upgrade Training,5.7,6.1000000000000005,Failed,4
SESS-01146,2024-02-12,SIM-008,INST-011,STU-9199,Recurrent Training,3.2,2.9000000000000004,Passed,3
SESS-01714,2024-02-12,SIM-007,INST-022,STU-2562,Line Training,3.3,3.4,Passed,3
SESS-02055,2024-02-13,SIM-003,INST-020,STU-6220,Type Rating,5.7,6.1000000000000005,Failed,2
SESS-01110,2024-02-13,SIM-004,INST-014,STU-1605,Initial Training,5.1,5.1,Failed,3
SESS-02044,2024-02-13,SIM-006,INST-011,STU-7061,Upgrade Training,3.4,3.0,Passed,3
SESS-00741,2024-02-13,SIM-012,INST-014,STU-2841,Recurrent Training,4.7,4.9,Passed,3
